size,run,algorithm,time_ms,nodes,mem_kb,rows,cols,start_r,start_c,goal_r,goal_c,manhattan,max_manhattan,depth_ratio,avg_degree,dead_end_ratio
10,1,BFS,0.249,11,11.0,10,10,3,9,0,6,6,18,0.3333,1.9512,0.2927
10,1,IDDFS,0.218,42,6.4,10,10,3,9,0,6,6,18,0.3333,1.9512,0.2927
10,2,BFS,0.165,13,20.0,10,10,2,0,0,7,9,18,0.5000,1.9649,0.2281
10,2,IDDFS,0.432,69,552.7,10,10,2,0,0,7,9,18,0.5000,1.9649,0.2281
10,3,BFS,0.173,3,0.0,10,10,3,9,1,9,2,18,0.1111,1.9600,0.2200
10,3,IDDFS,1.562,6,43.4,10,10,3,9,1,9,2,18,0.1111,1.9600,0.2200
10,4,BFS,0.295,36,25.9,10,10,0,1,9,0,10,18,0.5556,1.9661,0.2881
10,4,IDDFS,0.411,215,69.9,10,10,0,1,9,0,10,18,0.5556,1.9661,0.2881
10,5,BFS,0.336,19,0.0,10,10,9,4,9,9,5,18,0.2778,1.9600,0.2200
10,5,IDDFS,0.384,69,10.4,10,10,9,4,9,9,5,18,0.2778,1.9600,0.2200
10,6,BFS,4.356,41,141.2,10,10,0,1,9,5,13,18,0.7222,1.9583,0.2500
10,6,IDDFS,1.501,290,54.4,10,10,0,1,9,5,13,18,0.7222,1.9583,0.2500
10,7,BFS,1.545,58,61.2,10,10,0,9,8,9,8,18,0.4444,1.9655,0.2069
10,7,IDDFS,1.843,709,152.8,10,10,0,9,8,9,8,18,0.4444,1.9655,0.2069
10,8,BFS,0.226,21,5.0,10,10,5,9,1,9,4,18,0.2222,1.9649,0.2632
10,8,IDDFS,1.221,83,13.0,10,10,5,9,1,9,4,18,0.2222,1.9649,0.2632
10,9,BFS,0.392,15,0.0,10,10,9,0,1,0,8,18,0.4444,1.9655,0.2241
10,9,IDDFS,0.360,67,10.4,10,10,9,0,1,0,8,18,0.4444,1.9655,0.2241
10,10,BFS,0.401,17,0.0,10,10,9,0,0,0,9,18,0.5000,1.9608,0.2941
10,10,IDDFS,0.314,80,13.0,10,10,9,0,0,0,9,18,0.5000,1.9608,0.2941
20,1,BFS,0.348,103,0.0,20,20,5,19,17,0,31,38,0.8158,1.9911,0.2321
20,1,IDDFS,1.052,1720,331.9,20,20,5,19,17,0,31,38,0.8158,1.9911,0.2321
20,2,BFS,0.378,133,5.9,20,20,7,19,19,14,17,38,0.4474,1.9901,0.2217
20,2,IDDFS,0.858,1898,438.6,20,20,7,19,19,14,17,38,0.4474,1.9901,0.2217
20,3,BFS,0.573,116,5.9,20,20,0,18,12,0,30,38,0.7895,1.9903,0.2476
20,3,IDDFS,0.971,1554,274.7,20,20,0,18,12,0,30,38,0.7895,1.9903,0.2476
20,4,BFS,0.559,50,0.0,20,20,19,6,2,0,23,38,0.6053,1.9796,0.2245
20,4,IDDFS,0.409,462,117.7,20,20,19,6,2,0,23,38,0.6053,1.9796,0.2245
20,5,BFS,0.276,20,0.0,20,20,18,0,8,0,10,38,0.2632,1.9888,0.2402
20,5,IDDFS,0.298,97,23.3,20,20,18,0,8,0,10,38,0.2632,1.9888,0.2402
20,6,BFS,0.431,155,10.3,20,20,6,0,19,19,32,38,0.8421,1.9872,0.2244
20,6,IDDFS,1.190,4808,1145.2,20,20,6,0,19,19,32,38,0.8421,1.9872,0.2244
20,7,BFS,0.555,28,0.0,20,20,19,6,7,0,18,38,0.4737,1.9861,0.2917
20,7,IDDFS,0.400,282,67.7,20,20,19,6,7,0,18,38,0.4737,1.9861,0.2917
20,8,BFS,0.351,40,22.5,20,20,13,19,19,12,13,38,0.3421,1.9911,0.2533
20,8,IDDFS,0.275,283,70.8,20,20,13,19,19,12,13,38,0.3421,1.9911,0.2533
20,9,BFS,0.229,28,3.1,20,20,6,19,0,8,17,38,0.4474,1.9901,0.2660
20,9,IDDFS,0.488,234,41.6,20,20,6,19,0,8,17,38,0.4474,1.9901,0.2660
20,10,BFS,0.409,147,10.4,20,20,19,13,0,13,19,38,0.5000,1.9893,0.2139
20,10,IDDFS,1.006,3313,891.5,20,20,19,13,0,13,19,38,0.5000,1.9893,0.2139
50,1,BFS,0.345,264,0.0,50,50,31,49,0,6,74,98,0.7551,1.9976,0.2554
50,1,IDDFS,0.914,7988,1707.1,50,50,31,49,0,6,74,98,0.7551,1.9976,0.2554
50,2,BFS,0.937,923,0.0,50,50,0,25,49,26,50,98,0.5102,1.9982,0.2269
50,2,IDDFS,10.666,58058,2193.2,50,50,0,25,49,26,50,98,0.5102,1.9982,0.2269
50,3,BFS,1.296,1015,0.0,50,50,0,7,49,32,74,98,0.7551,1.9981,0.2400
50,3,IDDFS,14.040,53133,1158.8,50,50,0,7,49,32,74,98,0.7551,1.9981,0.2400
50,4,BFS,0.326,239,0.0,50,50,11,49,0,5,55,98,0.5612,1.9979,0.2226
50,4,IDDFS,0.530,5373,912.5,50,50,11,49,0,5,55,98,0.5612,1.9979,0.2226
50,5,BFS,0.448,166,0.0,50,50,14,49,0,24,39,98,0.3980,1.9983,0.2394
50,5,IDDFS,0.369,2588,438.0,50,50,14,49,0,24,39,98,0.3980,1.9983,0.2394
50,6,BFS,0.652,558,0.0,50,50,23,0,49,25,51,98,0.5204,1.9982,0.2386
50,6,IDDFS,1.894,12978,2814.6,50,50,23,0,49,25,51,98,0.5204,1.9982,0.2386
50,7,BFS,0.844,754,0.0,50,50,49,7,49,25,18,98,0.1837,1.9975,0.2491
50,7,IDDFS,4.427,45497,4149.2,50,50,49,7,49,25,18,98,0.1837,1.9975,0.2491
50,8,BFS,0.498,272,0.0,50,50,49,20,14,0,55,98,0.5612,1.9982,0.2399
50,8,IDDFS,0.578,6544,1380.0,50,50,49,20,14,0,55,98,0.5612,1.9982,0.2399
50,9,BFS,0.216,16,0.0,50,50,3,0,0,3,6,98,0.0612,1.9981,0.2301
50,9,IDDFS,0.246,62,0.0,50,50,3,0,0,3,6,98,0.0612,1.9981,0.2301
50,10,BFS,0.924,835,0.0,50,50,16,0,49,29,62,98,0.6327,1.9976,0.2297
50,10,IDDFS,9.992,42193,3192.3,50,50,16,0,49,29,62,98,0.6327,1.9976,0.2297
100,1,BFS,0.475,252,0.0,100,100,2,99,0,50,51,198,0.2576,1.9994,0.2347
100,1,IDDFS,0.839,5270,976.4,100,100,2,99,0,50,51,198,0.2576,1.9994,0.2347
100,2,BFS,0.215,87,0.0,100,100,0,45,0,25,20,198,0.1010,1.9995,0.2438
100,2,IDDFS,0.353,738,106.2,100,100,0,45,0,25,20,198,0.1010,1.9995,0.2438
100,3,BFS,0.460,256,0.0,100,100,0,0,28,0,28,198,0.1414,1.9995,0.2370
100,3,IDDFS,0.827,4359,855.1,100,100,0,0,28,0,28,198,0.1414,1.9995,0.2370
100,4,BFS,0.846,539,0.0,100,100,18,99,0,25,92,198,0.4646,1.9995,0.2371
100,4,IDDFS,2.156,22802,4943.9,100,100,18,99,0,25,92,198,0.4646,1.9995,0.2371
100,5,BFS,0.594,766,0.0,100,100,6,99,38,99,32,198,0.1616,1.9995,0.2273
100,5,IDDFS,2.211,28259,5763.9,100,100,6,99,38,99,32,198,0.1616,1.9995,0.2273
